Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass,Escape Speed z=0,Escape Speed Max Mass
8844.0,749911.0,0.0,0.1293577528982,0.2715008714320985,91.0,0.81671,28.346242893743124,31.51574874259843,4833.48779296875,37217.41796875,15953.36328125,-113.56138610839844,-400.549072265625,170.51174926757812,2.563969584538321e-05,196.91014677281444,207.94792228181262
8845.0,749915.0,0.0,3.9837675338441683,4.51473586938598,128.0,0.083884,88.85107348782721,90.54516141299446,58618.09765625,48710.30078125,58843.57421875,156.49728393554688,-142.1415252685547,-196.26480102539062,0.013295595744360093,112.97667124751396,116.79914077487958
8846.0,749922.0,0.0,0.5422496575523507,1.2251382524316965,99.0,0.59854,45.70507705031563,53.24281310604263,64532.7421875,3980.345458984375,6274.181640625,95.24552154541016,-10.022665023803713,85.12696838378906,0.0005275352358307174,164.76379729642986,172.21918102419036
8847.0,749931.0,0.0,0.3151215020228516,0.7633611729199237,109.0,0.38017,38.14087884772745,46.950590141217795,46004.484375,47266.6640625,45316.53515625,-189.3891143798828,158.8732452392578,18.3916072845459,0.0001979780111964681,157.48808622769525,165.03374598926902
8848.0,749940.0,0.0,1.215361228043383,1.6944361003962432,122.0,0.16925,59.8135816903574,63.94170141717171,34239.16015625,38668.75,35972.25,-203.6419219970703,14.653783798217773,313.39996337890625,0.0012614985547891506,109.63087550130156,113.1430611102995
8849.0,749959.0,0.0,1.6402862966060638,1.8576375124129385,126.0,0.10987,66.10047324910173,66.89689978516806,60406.6484375,11368.04296875,9884.408203125,136.86012268066406,217.8960876464844,196.30545043945312,0.001661087134952492,121.9144733978643,126.74658214992121
8850.0,749979.0,0.0,1.6839070753617722,5.187847397544168,113.0,0.31007,66.68129985751766,90.0841555956686,35555.80078125,8966.6689453125,53482.11328125,-83.36346435546875,-135.67436218261722,-83.37965393066406,0.012953111192488155,169.64126301038823,178.23256893307843
8851.0,749992.0,0.0,0.2361530946059661,0.7723861119963906,79.0,1.2485,34.644095754409584,43.5199007999101,37876.5390625,40859.984375,12917.12109375,-96.1610336303711,-177.6128692626953,56.94259262084961,0.00022322713312973436,182.55875861769192,191.77087942167583
8852.0,750002.0,0.0,1.0010184381495824,1.698948612267321,93.0,0.75744,56.06760980666169,58.37976870797758,54223.62109375,74892.6484375,24616.865234375,-14.610407829284668,-174.6894073486328,285.594970703125,0.001016265027726676,148.81424860269502,154.75392613714715
8853.0,750009.0,0.0,1.8162730742584576,13.315576043995945,133.0,0.023974,68.38461373378105,131.95908505674572,58186.63671875,35294.7890625,25524.84375,-66.98887634277344,-162.6849822998047,-255.06735229492188,0.17780703940184658,154.03827557321534,160.71838604489915
8855.0,750033.0,0.0,0.3211381421847777,0.5693245171145961,117.0,0.24354,38.382092418144055,43.7169590551104,19029.474609375,41227.7421875,4802.015625,-149.74412536621094,-12.938518524169922,-31.19744110107422,0.00010602078036337913,163.30569706022732,170.4675514901975
8856.0,750043.0,0.0,0.1173244725743478,0.2271281343630769,83.0,1.0745,27.438532916306723,29.18037306436532,38287.01171875,50398.09765625,15627.0234375,-11.461363792419435,37.15956497192383,89.90735626220703,1.999401555445639e-05,133.51401980495177,138.3030411299672
8857.0,750052.0,0.0,0.4911081950095567,0.8227754892273383,97.0,0.64464,44.220509656982,46.3758718934179,11601.4541015625,526.2694702148439,5252.8671875,287.644287109375,-93.04642486572266,202.78460693359366,0.00023245043980316783,142.08258744461128,147.71117264747275
8858.0,750058.0,0.0,0.5053977312689478,0.8882064033638348,122.0,0.16925,44.64530346272275,51.5561433919998,33346.0,48163.390625,25530.9140625,-66.60408020019531,-84.28904724121094,58.23601913452149,0.00029396127828434194,151.9920627787961,158.5071391285754
8859.0,750074.0,0.0,0.5971514619886875,1.8613978543064813,82.0,1.1142,47.198281183596976,58.708927672383496,27638.923828125,62330.12890625,28443.18359375,181.0220642089844,-195.66798400878903,-124.4409637451172,0.0012035039534017682,162.71763620611333,171.56327494038885
8860.0,750084.0,0.0,0.25495510040359065,0.28955077075145463,115.0,0.27335,35.54014959076201,34.67907142650812,22303.4609375,47374.33203125,3162.62109375,-215.8134765625,40.686500549316406,-184.66212463378903,2.389444489964976e-05,135.12921965995847,140.05886757876038
8861.0,750102.0,0.0,0.11506822722201998,0.2278802196749232,69.0,1.9041,27.261504760999355,28.47467216085289,69332.328125,45036.828125,18566.146484375,129.25115966796878,-47.08262252807617,8.024295806884767,2.623303160631285e-05,166.5172736544963,173.9557057348919
8862.0,750115.0,0.0,0.3579900684681806,2.3547622629187326,110.0,0.36069,39.79742834011465,68.58133181460015,6893.349609375,53403.0703125,36006.140625,-100.80789184570312,-82.72338104248047,316.1169738769531,0.002249783878956575,201.84349307150117,213.35968016018535
8863.0,750120.0,0.0,0.16169718847694722,0.19704495471986846,129.0,0.073662,30.535064344629607,31.96493894018753,40198.26171875,70388.671875,40096.296875,358.2498474121094,-139.546630859375,-12.993627548217773,9.611674539303916e-06,135.40050368132455,140.25179907490664
8864.0,750129.0,0.0,0.8257837458090349,1.0792347179217772,125.0,0.12575999999999998,52.58398071925261,55.597858166627375,16712.568359375,62564.14453125,42653.78125,-51.8218765258789,-205.35150146484366,40.14480972290039,0.00047170743840799277,135.05053010606198,139.87781309312663
8865.0,750135.0,0.0,0.1789950342340903,1.454522663896734,86.0,0.98785,31.58723980636352,54.4639680180908,36731.1171875,340.52349853515625,66072.28125,-252.3470764160156,110.74551391601562,267.3236694335937,0.0007423159523029767,181.93887867366615,190.8270307895253
8866.0,750145.0,0.0,0.296319496225227,1.0130517184734344,86.0,0.98785,37.366701165009154,48.27767209922155,31422.8046875,34027.53125,39199.6484375,-287.36505126953125,109.95618438720705,322.1070251464844,0.00036466096668095766,170.9477369455681,178.8474156788047
8867.0,750156.0,0.0,2.1689986302094018,2.3006126284599304,128.0,0.083884,72.55228738995864,72.32175636244284,24226.205078125,12949.876953125,15441.154296875,-285.14410400390625,-185.5692443847656,101.28121185302734,0.002817820429988301,94.23386309558741,97.06361370031176
