Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass
5220.0,688670.0,0.048524,18.280055035244327,18.280055035244327,131.0,0.048524,145.67803516890817,145.67803516890817,23446.091796875,13702.05859375,3709.235107421875,-268.97299194335943,-163.07208251953125,-38.934043884277344,0.3238231027172999
5271.0,689638.0,0.048524,21.143223751675,22.59925007820129,116.0,0.26134,152.91801230970987,148.57055988231824,42744.95703125,38793.41796875,67733.703125,-230.3167266845703,75.34087371826172,439.7145385742188,0.31549454533479626
5312.0,690422.0,0.048524,22.42476831782948,22.42476831782948,131.0,0.048524,155.94719368754892,155.94719368754892,22022.884765625,21869.486328125,20766.966796875,-286.9330139160156,-161.1777801513672,96.49568939208984,0.4860838294581521
5364.0,691388.0,0.048524,20.187330516901888,20.91383934020996,126.0,0.10987000000000001,150.57788986656269,149.93289382771582,21264.07421875,7628.48193359375,8549.6787109375,-275.98602294921875,-78.34595489501953,23.802453994750977,0.3650990779913437
5390.0,691878.0,0.048524,18.71926947073503,18.71926947073503,131.0,0.048524,146.8355477690851,146.8355477690851,9538.3349609375,33638.46875,65636.890625,150.35281372070312,154.95762634277344,-89.13853454589844,0.33986774203049386
5417.0,692375.0,0.048524,20.294877615841955,20.294877615841955,131.0,0.048524,150.84481540243416,150.84481540243416,38621.03125,41524.92578125,12792.6201171875,-92.6734619140625,-99.37326049804688,-4.019867897033691,0.3997977939922944
5496.0,693770.0,0.048524,20.314432003281336,20.34902708096938,129.0,0.073662,150.89324685354111,149.96847985833182,40172.78515625,21064.060546875,47950.8515625,-567.2985229492188,59.76104736328125,-307.6291809082031,0.3769732741609664
5524.0,694267.0,0.048524,24.040235714478932,24.31023120880127,103.0,0.50305,159.60548645199168,145.9651370906429,4690.279296875,31738.021484375,4473.96875,-97.76057434082031,-359.7132263183594,209.7286376953125,0.2617317922668585
5547.0,694720.0,0.048524,14.188740741122851,14.188740741122851,131.0,0.048524,133.8801509660698,133.8801509660698,33345.765625,31097.28515625,71410.9765625,-73.77399444580078,132.36860656738278,-18.56748962402344,0.19030380290528828
5670.0,696868.0,0.048524,20.31292698600076,20.31292698600076,131.0,0.048524,150.88952039686126,150.88952039686126,41629.95703125,1720.0916748046875,56119.5078125,-24.350269317626953,-74.44347381591797,-315.89361572265625,0.4005047049987485
