Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass,Escape Speed z=0,Escape Speed Max Mass
2938.0,643040.0,0.0,9.839462285692044,12.896666472608393,134.0,0.009521799999999999,120.103354765078,131.08714427830142,57838.1015625,62079.1484375,50381.53125,263.70376586914057,-30.609827041625977,-110.04132843017578,0.1731192093620916,102.0079738493218,118.57701602922337
3009.0,645388.0,0.0,14.940819957039572,17.823543060909618,111.0,0.34785,138.04568223072633,134.96789990390485,45499.34765625,36951.37890625,70818.84375,-473.31439208984375,-291.94940185546875,209.5652008056641,0.17020727867786542,114.76307650681305,128.454817263707
3265.0,653283.0,0.0,12.387508695775812,18.22064139626243,133.0,0.023974000000000002,129.685874244851,146.5009798994936,62861.1484375,692.0083618164062,56650.51171875,9.898534774780273,-164.54042053222656,-238.65460205078125,0.3440372719226744,112.77797700826756,116.16025848018208
3286.0,653889.0,0.0,17.060180956667118,19.05996149236506,125.0,0.12575999999999998,144.28656501189727,144.78606500170446,59156.40234375,32698.541015625,4310.03955078125,129.12318420410156,-112.04747009277344,-145.1497344970703,0.2917227048252171,105.91187644763657,109.03697593318942
3305.0,654478.0,0.0,11.333093047142027,11.624899777499113,131.0,0.048524,125.89664826864521,125.27506827348084,56884.3359375,33996.65234375,24004.7265625,104.71038055419922,61.55165481567383,-141.5710906982422,0.12330789816350872,112.54792105522458,115.87308968855491
3359.0,656031.0,0.0,11.09017093073238,11.862557042728774,124.0,0.14188,124.99062218349688,123.12714569334022,11518.4638671875,15527.6845703125,39018.328125,32.21190643310547,-209.79852294921875,-364.6206970214844,0.10292265638638763,120.86930821344593,125.81249568333669
3421.0,657786.0,0.0,12.489039789546617,23.31898971037432,117.0,0.24354,130.03922314811857,150.69536438834882,40207.2421875,54544.18359375,53897.0546875,-266.25469970703125,47.99623489379883,-310.5385437011719,0.3463530382013013,142.65734934019594,150.37811739316982
4010.0,673123.0,0.0,12.541685592044484,13.575043190609328,133.0,0.023974000000000002,130.22168772930857,132.8106949802577,21612.482421875,29333.654296875,9211.6708984375,-181.87872314453125,-123.4110870361328,12.750093460083008,0.18538951846291649,120.3620520538897,125.35719744445194
4042.0,673987.0,0.0,10.416307232596658,10.416307232596658,135.0,0.0,122.40597296328941,122.40597296328941,20403.923828125,5823.5283203125,6707.85107421875,-325.4513854980469,-74.07429504394531,200.11376953125,0.1111474256801184,101.43513496756998,104.69130709984543
4066.0,674610.0,0.0,10.403522036292337,10.403522036292337,135.0,0.0,122.35587123038431,122.35587123038431,48646.93359375,36058.73046875,74382.0859375,-175.6086883544922,149.24583435058594,98.61511993408205,0.11084195671380856,81.93104590236972,87.4471335191677
4091.0,675311.0,0.0,11.015715246850794,11.756513606418268,133.0,0.023974000000000002,124.71027884424844,126.59371930919069,26379.431640625,7124.97998046875,55862.765625,36.80709838867188,-57.72379684448242,211.5791015625,0.1354188184210275,111.72386755849544,117.98804032882532
4123.0,676083.0,0.0,14.037572524764323,20.32496035099029,133.0,0.023974000000000002,135.20580999780796,151.93664945002803,22573.73828125,58364.625,60415.71484375,-321.71990966796875,-23.625810623168945,-235.3907623291016,0.42813957485124415,132.40458349732302,136.91733178467626
4135.0,676375.0,0.0,18.779436295682736,18.779436295682736,135.0,0.0,148.97916434643577,148.97916434643577,71691.7734375,13965.1962890625,36694.3828125,17.623077392578125,-168.45977783203125,-376.59564208984375,0.39159857647008667,104.89081446893152,109.38590651701294
4276.0,679663.0,0.0,14.177459207448091,14.63397118178281,127.0,0.099401,135.65344229295386,133.4644198975504,15037.8857421875,11583.1455078125,33848.390625,-261.50338745117193,34.01794815063477,-218.31851196289062,0.17842593406155918,110.46020707094877,113.98009113181341
4376.0,681836.0,0.0,14.712940562855115,15.616939826445147,113.0,0.31006999999999996,137.34025311478985,130.0722522029402,73904.96875,33581.68359375,58619.765625,391.7818908691406,63.38201522827149,8.844894409179688,0.13681480376161295,128.6300567065918,132.90736124963803
4440.0,683138.0,0.0,7.325258444656026,13.14334977756847,127.0,0.099401,108.852648547185,128.76963358141512,24671.650390625,28581.197265625,55261.62890625,-104.48600769042969,-91.23482513427734,-201.322998046875,0.14160279132616235,159.06414975832686,165.68376664361318
4603.0,686689.0,0.0,10.011688552119516,20.12566002932462,100.0,0.57598,120.80005358278744,135.72500485382108,635.0926513671875,29411.296875,12775.3388671875,92.34400177001952,-180.9497375488281,261.02578735351557,0.1672236737342882,106.40461639617996,114.79641140273986
4672.0,688045.0,0.0,16.617959195917305,17.365526069294322,134.0,0.009521799999999999,143.02893757702026,144.75389589231966,52072.57421875,33637.54296875,27338.966796875,-33.130035400390625,-5.0157551765441895,-244.701171875,0.3250662034540079,109.69238315596009,112.8998324369244
4702.0,688678.0,0.0,11.616626923734493,15.449977733872151,126.0,0.10987000000000001,126.9379159700058,135.53817078084649,64065.27734375,67174.1953125,1835.86767578125,128.44876098632812,-37.39601516723633,36.83804702758789,0.1953303758141821,137.6391654217581,142.54837162613262
4717.0,689007.0,0.0,10.56371493773027,19.148707389831547,133.0,0.023974000000000002,122.98068499053284,148.94724117712371,71211.75,16470.46875,73119.8828125,62.22882080078125,246.43109130859366,40.15612411499024,0.3803186141090145,132.26194990338385,136.73928970505486
