Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass
2455.0,474598.0,0.75744,30.43893250552091,30.43893250552091,93.0,0.75744,152.76086008611432,152.76086008611432,60836.578125,9969.013671875,44405.375,-45.58869552612305,-133.5093994140625,-410.562744140625,0.3203273871067754
3010.0,498130.0,0.75744,31.156415289098568,31.44972703673623,88.0,0.9229999999999999,153.9518044885453,152.38480057626572,65175.703125,21756.53515625,31928.41015625,84.40734100341797,-268.79345703125,-461.3857116699219,0.30460644285650834
3078.0,500574.0,0.75744,21.04921368035404,21.04921368035404,93.0,0.75744,135.087214923894,135.087214923894,68207.9765625,62747.00390625,21734.18359375,-63.3653793334961,-58.19049072265625,167.26490783691406,0.15761491126884195
3102.0,501428.0,0.75744,24.90136840126731,24.90136840126731,93.0,0.75744,142.87076171750547,142.87076171750547,17271.1328125,15115.9951171875,61765.234375,17.19257926940918,16.29469108581543,145.04637145996094,0.21832338803447432
3347.0,509974.0,0.75744,22.013379768891763,22.636853835799478,92.0,0.7910699999999999,137.1190716844604,137.98372246708126,50002.2578125,39677.80859375,71223.3828125,-175.17774963378906,-486.13330078125,-135.94937133789062,0.17735457362475074
3466.0,513967.0,0.75744,27.453926476565275,27.453926476565275,93.0,0.75744,147.59459187023532,147.59459187023532,51893.8046875,18912.70703125,9529.298828125,137.37986755371094,170.2634735107422,42.78632354736328,0.26327823404522543
3655.0,520079.0,0.75744,18.262005665085532,18.262005665085532,93.0,0.75744,128.8403156325587,128.8403156325587,74704.71875,68283.9921875,1843.9993896484373,277.8822021484375,-89.60034942626953,-70.75652313232422,0.11935426423486532
3673.0,520656.0,0.75744,25.67300200462341,25.67300200462341,93.0,0.75744,144.3315162100142,144.3315162100142,11015.9970703125,20562.033203125,23233.826171875,-400.6980895996094,12.27310276031494,102.99395751953124,0.2315279096845191
3843.0,525758.0,0.75744,22.02390947125175,22.02390947125175,93.0,0.75744,137.14093100941255,137.14093100941255,1939.984130859375,51646.54296875,59640.4609375,-93.48998260498048,36.54020690917969,-331.7632751464844,0.17213608441313713
3858.0,526212.0,0.75744,26.834964752197266,26.834964752197266,93.0,0.75744,146.47695351182657,146.47695351182657,14835.279296875,51843.33984375,48699.9765625,-119.30750274658205,-65.35079956054689,53.91944122314453,0.2520444805152175
3934.0,528540.0,0.75744,23.73113144527782,23.73113144527782,93.0,0.75744,140.5966924480818,140.5966924480818,29743.083984375,5111.6083984375,31301.7109375,-136.91390991210938,1.520224690437317,270.48861694335943,0.1989511997800205
3989.0,530128.0,0.75744,21.238737485625528,21.953966129909862,89.0,0.8869,135.49143882114842,135.5305733978868,23328.75390625,51357.1015625,30444.59375,-367.5304565429688,-71.95445251464844,252.15863037109366,0.1573634783940527
4066.0,532369.0,0.75744,19.00506019592285,19.00506019592285,93.0,0.75744,130.56457884314656,130.56457884314656,58384.81640625,31465.2578125,23587.2578125,285.2257385253906,-103.11695861816406,-94.6023406982422,0.12907367543987153
4106.0,533456.0,0.75744,24.07558397813277,24.07558397813277,93.0,0.75744,141.2736716371829,141.2736716371829,52491.578125,16161.8984375,57228.82421875,-33.82424545288086,-102.9001922607422,-73.12024688720703,0.20457063892909072
4165.0,535087.0,0.75744,23.237014358693905,23.237014358693905,93.0,0.75744,139.61403037434394,139.61403037434394,14852.5771484375,46187.11328125,61862.359375,130.95944213867188,89.27638244628906,-192.66769409179688,0.19101181841316928
4616.0,547042.0,0.75744,17.721260135824032,17.721260135824032,93.0,0.75744,127.55588176486008,127.55588176486008,11098.091796875,30076.978515625,22497.318359375,-342.6814880371094,-101.65093994140624,290.42633056640625,0.11250465797255277
4620.0,547152.0,0.75744,17.612208019603386,17.612208019603386,93.0,0.75744,127.29369442527175,127.29369442527175,36111.47265625,15588.37890625,53224.73046875,-151.77967834472656,-26.72195243835449,-33.24172592163086,0.11114627516872476
4691.0,548984.0,0.75744,19.448035142638467,19.448035142638467,93.0,0.75744,131.57120914552394,131.57120914552394,32615.005859375,42128.48046875,65379.15234375,-72.11975860595703,2.45447325706482,-187.2554016113281,0.1350356217019657
4715.0,549542.0,0.75744,20.340002395889986,20.340002395889986,93.0,0.75744,133.55268456567345,133.55268456567345,12848.32421875,70002.9140625,7534.38525390625,234.9033508300781,141.32383728027344,-186.2165679931641,0.14741637659957674
4721.0,549695.0,0.75744,18.87269453568892,18.87269453568892,93.0,0.75744,130.26075546231704,130.26075546231704,37696.171875,72923.71875,47700.57421875,-32.513233184814446,-223.3915252685547,-174.4622344970703,0.12731641050310494
4801.0,551560.0,0.75744,22.945959459651604,22.945959459651604,93.0,0.75744,139.028668351129,139.028668351129,56790.94140625,69356.2265625,17214.302734375,-225.03436279296875,132.33152770996094,240.42970275878903,0.18640280809132453
4885.0,553550.0,0.75744,19.163749434731226,19.163749434731226,93.0,0.75744,130.9269699137194,130.9269699137194,16564.982421875,23395.919921875,74658.5390625,-131.25253295898438,-98.1750717163086,215.2008819580078,0.1311951241477605
5071.0,557920.0,0.75744,31.668581745841287,31.668581745841287,93.0,0.75744,154.79080557635118,154.79080557635118,53052.7421875,9666.953125,12296.6923828125,-42.46040344238281,63.92063522338867,64.69788360595703,0.34516194991440274
5113.0,558814.0,0.75744,29.103988950902767,29.103988950902767,93.0,0.75744,150.49421107610462,150.49421107610462,73920.4296875,41394.12890625,13706.7744140625,127.85027313232422,-272.53707885742193,-23.567344665527344,0.2942357880971211
5185.0,560492.0,0.75744,20.300893621011213,20.300893621011213,93.0,0.75744,133.46703342828917,133.46703342828917,54436.578125,15610.7880859375,15719.26953125,62.50823211669922,63.385414123535156,80.96458435058594,0.14686308069142415
5197.0,560780.0,0.75744,18.68617805567655,18.68617805567655,93.0,0.75744,129.83021709405375,129.83021709405375,17119.62109375,416.4342346191406,11746.2373046875,51.66843032836914,447.2312927246094,-444.8697204589844,0.1248592458412588
5225.0,561391.0,0.75744,20.08579942313108,20.08579942313108,93.0,0.75744,132.9939840465947,132.9939840465947,67625.859375,46575.015625,56560.62890625,318.1875915527344,301.17840576171875,-2.191976547241211,0.14383708987391608
5227.0,561424.0,0.75744,18.381586129015144,18.381586129015144,93.0,0.75744,129.1209215105842,129.1209215105842,15578.955078125,18716.6328125,10385.1494140625,-101.23615264892578,-61.53064346313477,-123.31137084960938,0.12089449181189175
5262.0,562192.0,0.75744,19.147203727201983,19.147203727201983,93.0,0.75744,130.8892789057852,130.8892789057852,63290.734375,20129.802734375,49442.5,221.12046813964844,-227.33209228515625,-126.7791976928711,0.1309731833686031
5293.0,562889.0,0.75744,17.108314416625284,17.108314416625284,93.0,0.75744,126.06795172319187,126.06795172319187,2223.742919921875,57428.50390625,35029.26953125,116.82845306396484,-192.8794708251953,439.67626953125,0.1049703528530621
5308.0,563201.0,0.75744,17.884461717172105,18.77266710454768,84.0,1.0355,127.94625546733364,127.38793338841488,18164.58203125,50561.90625,42419.69140625,-97.97157287597656,-250.21090698242188,386.8843688964844,0.10792074345178218
