Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass,Escape Speed z=0,Escape Speed Max Mass
4882.0,645960.0,0.24354,5.372107028961182,9.828180752017284,99.0,0.59854,92.38005183047248,106.5835885973643,55395.59765625,20370.060546875,7433.4326171875,43.12975692749024,161.7150421142578,66.77381896972656,0.03851190601890663,161.39319450300644,170.94276279040182
5033.0,649100.0,0.24354,4.379361529241908,8.054024116559463,99.0,0.59854,86.29790426293154,99.74020781452127,69845.578125,15838.6796875,561.0142211914061,92.74308776855469,48.093833923339844,-34.10617828369141,0.0256220659940223,162.38013693267965,168.4595394364792
5378.0,656135.0,0.24354,3.6017109047282827,9.488240561702037,86.0,0.98785,80.85364431614416,101.76482197582916,12713.9130859375,47155.046875,34027.73828125,-26.729162216186523,-340.4786682128906,209.9311370849609,0.029383673842542767,195.8396566554808,203.83580605031773
5465.0,657822.0,0.24354,5.048712546175176,7.450103759765625,95.0,0.70011,90.48783500966421,96.08944426029221,12628.77734375,63490.70703125,44554.46484375,-23.473285675048828,-270.41567993164057,74.18730163574219,0.020583772681774963,162.52678035378372,168.41692515918703
5543.0,659302.0,0.24354,4.3003931641578665,8.003634485331451,108.0,0.39993,85.77604880714594,102.41391876275772,22964.09375,16695.791015625,43881.76171875,-216.0961456298828,175.63571166992188,203.1953887939453,0.02982490941403668,182.2371815172332,189.36876904250008
5621.0,660855.0,0.24354,4.884759133512324,7.704306732524525,107.0,0.41997,89.49752677031937,100.78572536527588,4981.04296875,34685.7734375,49943.1484375,92.73512268066406,81.83160400390625,9.515130996704102,0.026971933896489195,156.25203491957453,161.4746444280479
5628.0,660983.0,0.24354,7.626090537418019,10.384720157493245,106.0,0.4403,103.82389119812849,110.96942247855068,49536.09765625,44994.07421875,19763.12890625,16.003646850585938,31.936237335205078,339.35406494140625,0.049485053685895175,156.20997098072132,161.64069970420024
5660.0,661585.0,0.24354,5.5977309292013,9.601052511822092,90.0,0.8514700000000001,93.65565144779717,103.15348345058108,26349.94921875,40784.96875,53803.0703125,-181.5452117919922,125.4522476196289,-268.47076416015625,0.03177245698503528,161.7625078782421,183.0554315501737
5721.0,662739.0,0.24354,5.0630020824345685,8.567694913257252,102.0,0.52457,90.57312482043035,102.79400717638028,51063.875,33472.734375,27032.80078125,-162.6327667236328,10.330618858337402,-95.50899505615234,0.030720759998576624,166.33971062673118,172.37310419618458
5846.0,665030.0,0.24354,2.0637073638764294,7.547874342311513,95.0,0.70011,67.15515471741857,96.50795839230696,8866.0244140625,10572.2529296875,9192.236328125,70.25416564941406,-10.325478553771973,131.81015014648438,0.02113398922634881,180.4979762903601,187.8690374061429
5879.0,665636.0,0.24354,5.144226957451213,8.338310501792215,109.0,0.38017,91.05490725630672,104.17345170443687,70442.1015625,67795.421875,30999.470703125,-130.60610961914062,68.06415557861328,288.0339050292969,0.03321827148139881,150.93730990585075,156.51028254213256
5885.0,665728.0,0.24354,4.8366260122169145,9.010669859972866,110.0,0.36069,89.20259427693004,107.26941648883977,41101.4609375,64084.19140625,37975.2421875,-104.98471069335938,356.376953125,435.3813171386719,0.040039287074126205,170.70943462936208,177.16838455889413
5910.0,666207.0,0.24354,6.218948824839159,10.596806352788752,100.0,0.57598,96.99938418026196,109.59771201842413,18002.349609375,37202.4765625,52655.2265625,-71.81165313720703,252.0548553466797,-131.17250061035156,0.04569225925134755,166.78098633880066,173.03394130712184
5917.0,666345.0,0.24354,5.369098687713797,8.060040799054233,106.0,0.4403,92.36280455604772,101.98057897491637,39029.86328125,10152.412109375,53136.42578125,23.74188041687012,-15.831616401672365,-22.6715087890625,0.029093317187291395,161.5884257390958,167.4540014671825
6022.0,668158.0,0.24354,2.035128291357648,11.286463927138936,81.0,1.1546,66.84371516833079,106.84218077740823,74966.34375,39586.67578125,59508.25,346.99774169921875,89.09891510009766,-222.68231201171875,0.03889410137875497,236.4124417358884,249.428744749114
6112.0,669786.0,0.24354,2.8842267664996064,7.596759633584456,107.0,0.41997,75.08268307100002,100.31455845011902,31427.462890625,34145.51953125,43071.83203125,-439.9760437011719,138.12327575683594,0.07523345947265625,0.0261832180409873,154.67399548132872,160.33171722548798
6121.0,669915.0,0.24354,4.057471386410974,7.737398824908517,99.0,0.59854,84.12953167484574,98.41567781405044,5029.3046875,7280.2939453125,14667.1826171875,177.2134552001953,220.0304107666016,262.9174194335937,0.02359896138748692,189.19221172361483,197.15711664951343
6147.0,670314.0,0.24354,1.1724926192652096,8.715102618390864,101.0,0.5463899999999999,55.620303616736756,103.07654822548693,59846.86328125,40814.7421875,31701.28515625,30.18146133422852,66.83323669433594,-110.48594665527344,0.03128381168446407,228.5172467707792,239.9089524454459
6352.0,673712.0,0.24354,2.684925428845666,10.216253724965183,99.0,0.59854,73.3118297147828,107.96836305889838,57996.62109375,68471.5078125,67180.3203125,-7.03891658782959,-22.655553817749023,-209.65631103515625,0.04168173934448712,182.97851455598732,196.58408665335887
6358.0,673843.0,0.24354,5.279601297595285,7.605784318663857,96.0,0.67611,91.84672849278758,96.99618260497179,27552.3203125,62288.1328125,29499.966796875,202.14035034179688,-367.9139709472656,79.5041275024414,0.02174460452318277,145.63226551729844,151.2997911114383
6478.0,675904.0,0.24354,0.482835341244936,12.783855199813845,77.0,1.3576,41.38055708105486,110.44964294750557,40791.3515625,40039.421875,74531.3203125,-43.59501647949219,-406.0048828125,-341.925537109375,0.04657844218438181,263.2245588558643,280.3854873300526
6479.0,675920.0,0.24354,0.9416041218421676,11.232313784686003,101.0,0.5463899999999999,51.69947104501179,112.17397437874088,50008.19140625,11656.9765625,11722.390625,150.99717712402344,-52.26709747314453,80.04552459716797,0.05273698421915611,218.72549841416503,229.33158299555316
6577.0,677488.0,0.24354,5.753411488099532,8.501512083140288,107.0,0.41997,94.51595527417494,104.14855040816302,13585.1865234375,16859.775390625,68246.2421875,-17.95931053161621,262.01239013671875,-57.745018005371094,0.033196744594621325,151.99720487367682,157.71912856128012
6631.0,678298.0,0.24354,1.1025491932576357,9.29194756529548,108.0,0.39993,54.491568381441404,107.6379667534618,65471.15234375,37151.71875,71549.0625,203.60092163085938,-87.55757904052734,155.31944274902344,0.04088512325634786,231.7142265802,244.47131717169998
6634.0,678348.0,0.24354,3.2023563981056213,8.179621262983844,102.0,0.52457,77.74751868142403,101.21794839658342,41652.23828125,605.9876098632812,51476.3984375,-30.29409027099609,-214.98223876953125,-97.86688232421876,0.02790762779598836,192.012876162676,200.6012023469108
6718.0,679681.0,0.24354,2.094542607665061,7.332027635791086,108.0,0.39993,67.4879727164724,99.46522432317705,21227.994140625,44976.3046875,43166.68359375,-92.91837310791016,16.62943458557129,517.7838134765625,0.024770802355140443,200.1107241214373,209.7582676371006
6724.0,679778.0,0.24354,2.6721400632099668,7.0830888368866685,106.0,0.4403,73.19527647091357,97.68156810143788,51343.8828125,35943.4140625,13005.83203125,65.77139282226561,-64.46816253662111,110.29068756103516,0.022167611953547085,185.05212097953952,192.98131584105232
