Group Number,Subhalo ID,Snapshot,Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Subhalo ID at Snap,Subfind ID at snapp
19826,832334,134,5.478366851806641,25730.70703125,41651.9609375,53005.0234375,-263.8661804199219,196.33645629882812,-285.4996643066406,13755163,831857
19826,832334,133,5.49054479598999,25768.046875,41623.34765625,53045.45703125,-259.5462341308594,201.25540161132812,-277.76068115234375,13755164,829301
19826,832334,132,5.4958391189575195,25793.00390625,41603.9296875,53072.34765625,-256.61737060546875,204.68553161621094,-272.29888916015625,13755165,826702
19826,832334,131,5.512782096862793,25830.513671875,41573.46484375,53111.43359375,-252.13282775878906,210.2842254638672,-263.8864440917969,13755166,824377
19826,832334,130,5.488426685333252,25854.951171875,41552.6484375,53136.7421875,-249.30575561523438,214.34849548339844,-257.68359375,13755167,823372
19826,832334,129,5.4820733070373535,25891.447265625,41520.51171875,53173.96875,-244.9720916748047,220.72035217285156,-248.40956115722656,13755168,821898
19826,832334,128,5.473601818084717,25915.51953125,41498.26953125,53197.54296875,-242.19654846191406,225.32516479492188,-241.95510864257812,13755169,820382
19826,832334,127,5.585848331451416,25951.359375,41464.07421875,53232.5390625,-237.97515869140625,232.2974090576172,-232.4419708251953,13755170,817322
19826,832334,126,5.54666805267334,25974.63671875,41440.10546875,53255.9375,-235.32321166992188,237.2676544189453,-225.55715942382812,13755171,816845
19826,832334,125,5.5747294425964355,26010.39453125,41404.171875,53288.86328125,-231.6194305419922,244.96383666992188,-215.1676788330078,13755172,814238
19826,832334,124,5.546138286590576,26045.19921875,41366.61328125,53320.36328125,-228.01486206054688,252.70083618164062,-204.56069946289062,13755173,813332
19826,832334,123,5.541373252868652,26068.130859375,41340.41015625,53340.87109375,-225.94174194335938,258.2029724121094,-197.47610473632812,13755174,812252
19826,832334,122,5.5561981201171875,26103.068359375,41299.7890625,53370.62109375,-222.85899353027344,266.5325012207031,-186.8490447998047,13755175,809475
19826,832334,121,5.564669609069824,26126.078125,41272.15625,53389.38671875,-221.05885314941406,272.1869201660156,-179.37721252441406,13755176,807875
19826,832334,120,5.561492919921875,26160.396484375,41229.015625,53416.40234375,-218.63198852539062,280.8553466796875,-168.8019561767578,13755177,805806
19826,832334,119,5.533960819244385,26194.12890625,41185.4296875,53441.41015625,-216.50418090820312,289.6259765625,-158.01266479492188,13755178,803139
19826,832334,118,5.551433086395264,26216.759765625,41154.81640625,53457.51171875,-215.3032989501953,295.6549377441406,-150.76222229003906,13755179,801268
19826,832334,117,5.60173225402832,26250.29296875,41107.08984375,53480.6328125,-214.14608764648438,304.7084045410156,-140.2070770263672,13755180,798278
19826,832334,116,5.590084075927734,26284.298828125,41058.05078125,53502.19921875,-213.32012939453125,314.0233459472656,-129.8481903076172,13755181,794621
19826,832334,115,5.606497287750244,26306.900390625,41024.26171875,53515.77734375,-213.09434509277344,319.9425048828125,-122.86746978759766,13755182,790448
19826,832334,114,5.5366082191467285,26340.384765625,40973.640625,53534.08984375,-213.2730712890625,328.6009216308594,-112.87728881835938,13755183,787500
19826,832334,113,5.65997314453125,26374.455078125,40920.03515625,53551.33203125,-213.9165496826172,337.1050109863281,-103.02611541748047,13755184,781534
19826,832334,112,5.5366082191467285,26409.013671875,40864.94921875,53566.76953125,-214.78622436523438,344.60894775390625,-93.25834655761719,13755185,779615
19826,832334,111,5.522312641143799,26443.712890625,40809.09375,53580.5859375,-216.42868041992188,351.8022766113281,-84.12726593017578,13755186,776684
19826,832334,110,5.458776950836182,26467.208984375,40770.98046875,53588.87890625,-217.68556213378906,356.2939453125,-78.45719909667969,13755187,775975
19826,832334,109,5.474131107330322,26502.935546875,40711.9140625,53601.140625,-219.23831176757812,362.6517639160156,-70.39348602294922,13755188,773216
19826,832334,108,5.440245628356934,26538.470703125,40652.38671875,53612.02734375,-220.6204833984375,367.63433837890625,-62.949337005615234,13755189,774191
19826,832334,107,5.150099277496338,26574.525390625,40591.4921875,53621.9609375,-221.81881713867188,370.7156066894531,-60.38548278808594,13755190,710740
19826,832334,106,5.170748233795166,26611.216796875,40530.796875,53630.8203125,-223.0985565185547,374.1972961425781,-54.26194763183594,13755191,711001
19826,832334,105,5.374591827392578,26648.646484375,40468.703125,53638.9765625,-225.26536560058594,377.38226318359375,-48.266658782958984,13755192,769416
19826,832334,104,5.27240514755249,26686.001953125,40406.109375,53646.12109375,-227.46438598632812,378.547119140625,-45.1755256652832,13755193,772006
19826,832334,103,5.1712775230407715,26724.39453125,40343.546875,53653.66796875,-229.75311279296875,379.2008361816406,-42.61003875732422,13755194,773539
19826,832334,102,5.209399223327637,26762.26953125,40280.50390625,53660.703125,-231.9901885986328,379.8427429199219,-41.00977325439453,13755195,767566
19826,832334,101,5.209399223327637,26800.642578125,40216.6484375,53667.25390625,-234.4953155517578,379.8488464355469,-39.738014221191406,13755196,764076
19826,832334,100,5.107741832733154,26853.041015625,40131.7734375,53676.13671875,-237.66212463378906,378.3782653808594,-38.72242736816406,13755197,762541
19826,832334,99,5.0426177978515625,26892.6484375,40068.01953125,53682.89453125,-240.1540985107422,376.978271484375,-38.85441970825195,13755198,761344
19826,832334,98,5.0611491203308105,26933.9140625,40005.64453125,53688.8515625,-242.33775329589844,375.45550537109375,-39.507076263427734,13755199,757435
19826,832334,97,5.0240864753723145,26974.5859375,39942.796875,53695.171875,-244.49331665039062,373.85235595703125,-40.547821044921875,13755200,757232
19826,832334,96,4.987553596496582,27030.240234375,39859.14453125,53704.01171875,-247.26260375976562,371.3665771484375,-42.73274230957031,13755201,753572
19826,832334,95,5.053736686706543,27071.6875,39798.15234375,53711.75390625,-249.21302795410156,369.058349609375,-44.68134689331055,13755202,748446
19826,832334,94,4.943078517913818,27127.712890625,39715.22265625,53721.42578125,-250.6988983154297,365.46954345703125,-46.88911056518555,13755203,747076
19826,832334,93,4.972198963165283,27169.9375,39654.4609375,53729.42578125,-251.17332458496094,362.6023864746094,-49.03008270263672,13755204,741450
19826,832334,92,4.915017127990723,27226.70703125,39573.82421875,53740.40234375,-251.4205780029297,358.004150390625,-52.54594802856445,13755205,742423
19826,832334,91,4.801711559295654,27268.361328125,39513.44140625,53748.55859375,-251.89633178710938,354.0376892089844,-55.0844841003418,13755206,742983
