Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass
2703.0,436182.0,1.0355,28.296256607229058,28.296256607229058,84.0,1.0355,146.05932667836177,146.05932667836177,40186.984375,21750.818359375,15153.3466796875,-124.74666595458984,-23.46760368347168,-125.60408782958984,0.2348372643838113
2955.0,446951.0,1.0355,21.29740064794367,22.239756855097685,82.0,1.1142,132.86028084700962,134.21501057994962,35126.203125,20557.484375,38637.8125,-191.6812744140625,22.36739921569824,154.10726928710938,0.14384360849694164
3004.0,448743.0,1.0355,31.83779933235862,31.83779933235862,84.0,1.0355,151.91499588540302,151.91499588540302,27549.23046875,19854.552734375,24900.384765625,-283.5182800292969,-63.07956314086914,244.87278747558602,0.2925349611308105
3012.0,449073.0,1.0355,18.07774603366852,18.07774603366852,84.0,1.0355,125.7962590331864,125.7962590331864,64266.92578125,38473.86328125,1039.737548828125,117.15996551513672,-288.1064758300781,71.60802459716797,0.10040109445701333
3039.0,450094.0,1.0355,30.47428076917475,30.47428076917475,84.0,1.0355,149.71458839908325,149.71458839908325,54087.3125,3098.05322265625,30747.787109375,96.7310791015625,45.57390975952149,367.52923583984375,0.26969397983184984
3101.0,452425.0,1.0355,27.068861506202,27.068861506202,84.0,1.0355,143.9161820799508,143.9161820799508,61152.3046875,10161.8369140625,44786.53515625,-172.10508728027344,-197.3772430419922,-275.3572998046875,0.2161039272361959
3123.0,453182.0,1.0355,31.23463283885609,31.23463283885609,84.0,1.0355,150.94953084476847,150.94953084476847,60343.55859375,9909.1650390625,41818.16015625,24.182830810546875,-268.77267456054693,-151.90919494628906,0.2823360448139307
3235.0,457351.0,1.0355,19.50594511899081,19.50594511899081,84.0,1.0355,129.02542506111988,129.02542506111988,56281.82421875,8635.853515625,81.57064056396484,11.209548950195312,38.127742767333984,82.1981201171875,0.11612416822027642
3297.0,459590.0,1.0355,28.5579806024378,28.5579806024378,84.0,1.0355,146.50826677490284,146.50826677490284,31866.21484375,28117.791015625,24393.017578125,-177.1835479736328,-95.00379943847656,126.6439971923828,0.2389177133138995
3305.0,459891.0,1.0355,25.632389567115087,25.632389567115087,84.0,1.0355,141.3240248546439,141.3240248546439,35063.78515625,59992.10546875,41681.2734375,131.29904174804688,87.38611602783203,-19.45445251464844,0.1950374965695451
3359.0,461755.0,1.0355,22.602258758111443,23.990598591891203,83.0,1.0745,135.5200583610785,137.9370361743498,25031.56640625,41633.6484375,47922.50390625,-438.0711669921875,159.8175811767578,0.9202320575714112,0.16894654938814055
3515.0,466934.0,1.0355,25.33456412228671,25.33456412228671,84.0,1.0355,140.77453821674612,140.77453821674612,4002.11083984375,5334.77734375,38785.2109375,64.51157379150389,191.20599365234366,-0.4449629783630371,0.19078764529589773
3576.0,469051.0,1.0355,27.365933765064586,27.63818610798229,78.0,1.3024,144.44074606844083,143.10435805419232,66367.1328125,42299.2890625,33747.06640625,127.37257385253906,71.92250061035156,-73.80670166015625,0.20014915155084528
3736.0,474171.0,1.0355,26.69733491810885,26.69733491810885,84.0,1.0355,143.2547185490063,143.2547185490063,59730.171875,26175.578125,4016.262451171875,75.86163330078125,7.780970096588135,20.81895446777344,0.2105657743911569
3776.0,475429.0,1.0355,27.075629342686053,27.075629342686053,84.0,1.0355,143.92817519640258,143.92817519640258,36561.16015625,31406.9296875,4139.30712890625,-91.8457489013672,166.39105224609375,-94.08645629882812,0.21620538643403625
