Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass
2715.0,486181.0,0.75744,26.760507713664666,28.975383801893763,89.0,0.8869,146.34135501475455,148.66520869801298,67009.9609375,61124.890625,39343.80078125,130.40512084960938,-15.175564765930176,379.3985900878906,0.2670452240882605
3779.0,523826.0,0.75744,29.25891767848621,29.25891767848621,93.0,0.75744,150.7607796470054,150.7607796470054,18189.466796875,1242.5501708984375,12195.2431640625,-75.06446075439453,162.45550537109375,-422.4770812988281,0.2972165555747127
3897.0,527424.0,0.75744,30.073420567946002,30.073420567946002,93.0,0.75744,152.1469433062967,152.1469433062967,66783.75,29683.015625,67635.015625,166.56369018554688,259.79754638671875,323.9441833496094,0.31309227329292105
4203.0,536178.0,0.75744,31.33992444385181,34.66637297110124,84.0,1.0355,154.2534682009677,156.2868486628222,24923.404296875,4878.2353515625,28709.560546875,-132.78663635253906,117.77315521240234,107.95386505126952,0.34231731635835144
4264.0,538003.0,0.75744,28.95658124576916,28.95658124576916,93.0,0.75744,150.23970340876278,150.23970340876278,24257.955078125,46281.54296875,59975.0390625,-263.6581420898437,-39.29237747192383,-316.1573791503906,0.29141139361346463
4376.0,540904.0,0.75744,26.10845457423817,26.10845457423817,93.0,0.75744,145.14297176001844,145.14297176001844,31705.865234375,36302.21875,59766.20703125,-67.06950378417969,121.47350311279295,-308.5760803222656,0.23912829128897065
4648.0,547811.0,0.75744,19.74059505896135,21.846419030969795,89.0,0.8869,132.2276772266787,135.308900676355,18932.662109375,47764.50390625,48361.3515625,279.01211547851557,99.87821197509766,-164.36981201171875,0.1558839262004164
4678.0,548641.0,0.75744,23.05425838990645,23.05425838990645,93.0,0.75744,139.24705146375365,139.24705146375365,46988.90234375,65855.4765625,49617.3828125,-245.1689453125,-71.81168365478516,-500.129150390625,0.1881118996193789
4828.0,552173.0,0.75744,24.57797256383029,24.57797256383029,93.0,0.75744,142.24957386395064,142.24957386395064,61960.20703125,12875.6259765625,23875.501953125,209.7148284912109,310.51361083984375,249.05642700195312,0.21289055145024446
4853.0,552784.0,0.75744,22.92113954370672,22.92113954370672,93.0,0.75744,138.9785226340397,138.9785226340397,10001.091796875,27698.939453125,71802.15625,-42.51395797729492,263.377197265625,161.537841796875,0.18601210253031794
4986.0,556069.0,0.75744,21.814079447226085,21.814079447226085,93.0,0.75744,136.7040095026662,136.7040095026662,28582.8984375,11917.658203125,62108.15625,-175.70895385742188,-142.47412109375,-187.4246826171875,0.16896104932728634
5006.0,556527.0,0.75744,25.290944359519266,25.290944359519266,93.0,0.75744,143.61196935521872,143.61196935521872,61616.61328125,69243.8046875,34159.71484375,-129.78573608398438,222.19390869140625,111.8873291015625,0.22494762565192228
5119.0,558951.0,0.75744,24.60053563117981,27.261395346034657,86.0,0.98785,142.2930898625818,144.6722186798817,58954.6484375,47892.6171875,57735.6171875,178.1881866455078,-36.75366973876953,-147.1388702392578,0.2245168303780876
5128.0,559180.0,0.75744,21.04394950649955,21.04394950649955,93.0,0.75744,135.07595271579456,135.07595271579456,49610.5859375,59356.85546875,55346.7265625,-12.308080673217773,140.09843444824222,-309.6278991699219,0.15753806539628207
5130.0,559220.0,0.75744,26.318284598263826,26.318284598263826,93.0,0.75744,145.53076602833858,145.53076602833858,63244.140625,39658.265625,34816.7109375,97.52700805664062,96.48030090332031,-67.29077911376953,0.2428286010907332
5214.0,561164.0,0.75744,29.81621026992798,29.81621026992798,93.0,0.75744,151.71194278568362,151.71194278568362,38957.6953125,11546.947265625,48527.63671875,21.375877380371094,-34.68380355834961,-8.088980674743652,0.30804190233998624
5222.0,561339.0,0.75744,17.409147186712786,31.458001245151873,77.0,1.3576,126.80258914915376,149.11479772950906,55405.23828125,8810.275390625,34354.37890625,424.66290283203125,54.147666931152344,36.60919189453125,0.24871924228004905
5267.0,562303.0,0.75744,22.597746415571734,22.597746415571734,93.0,0.75744,138.32181087137423,138.32181087137423,58691.84765625,14014.5810546875,25797.134765625,234.69308471679688,41.19788360595703,400.3113098144531,0.1809549883629464
5323.0,563547.0,0.75744,29.228083112023096,31.090232458981603,88.0,0.9229999999999999,150.70780118665152,151.80194891592234,12940.80859375,47320.91796875,31168.125,47.95483779907226,-326.4314270019531,212.4184112548828,0.2981337900214887
5393.0,565052.0,0.75744,23.256567391482267,23.256567391482267,93.0,0.75744,139.653179299049,139.653179299049,1103.6201171875,17798.16796875,22911.294921875,-286.1747131347656,-82.15428924560547,-9.96693229675293,0.19132325320898969
5406.0,565353.0,0.75744,20.597214048559014,20.597214048559014,93.0,0.75744,134.1132796778807,134.1132796778807,24814.56640625,67638.4453125,55353.04296875,222.0065460205078,-162.86793518066406,4.55542516708374,0.15107904784579246
5409.0,565424.0,0.75744,21.11464467915621,21.11464467915621,93.0,0.75744,135.2270419790068,135.2270419790068,3045.6689453125,58612.66796875,57338.23046875,-231.22720336914062,-267.9755249023437,-137.76571655273438,0.1585714911059456
5446.0,566222.0,0.75744,26.707863265817817,26.707863265817817,93.0,0.75744,146.2453289681544,146.2453289681544,50482.94921875,7559.95263671875,44287.53515625,-0.4793638288974762,-107.08346557617188,-94.10993957519531,0.2497637027785678
5451.0,566331.0,0.75744,22.95949784192172,22.95949784192172,93.0,0.75744,139.0560058177447,139.0560058177447,8326.953125,24942.046875,68774.59375,79.6545181274414,-11.835204124450685,49.94781494140625,0.1866160787688614
5508.0,567639.0,0.75744,19.156980243596166,19.156980243596166,93.0,0.75744,130.91155236613182,130.91155236613182,37447.9453125,74927.4921875,47932.79296875,-21.61001205444336,-170.791015625,-43.86814498901367,0.13110430254606942
5524.0,567981.0,0.75744,25.682777166366574,25.682777166366574,93.0,0.75744,144.34983227200044,144.34983227200044,19662.248046875,41619.90234375,69330.1015625,-76.67096710205078,194.0072326660156,-191.16932678222656,0.23169735406948644
5532.0,568149.0,0.75744,18.941886045716025,18.941886045716025,93.0,0.75744,130.4197496509675,130.4197496509675,64439.91015625,1617.625,45612.296875,-129.71978759765622,-80.6733169555664,-482.0430908203125,0.12823359137262474
5575.0,569186.0,0.75744,22.44958687912334,22.44958687912334,93.0,0.75744,138.018850758372,138.018850758372,60988.2734375,840.1396484375,36247.453125,-371.9668884277344,-26.67338562011719,208.5662841796875,0.17865903854918685
5612.0,569973.0,0.75744,26.87106349251487,27.481000531803478,92.0,0.7910699999999999,146.54260497723027,147.19735796142746,62223.78125,31917.642578125,1947.33154296875,168.33160400390625,61.81062316894531,-0.4833105504512787,0.2574212407251216
5670.0,571229.0,0.75744,25.87305415760387,25.87305415760387,93.0,0.75744,144.70543892128006,144.70543892128006,67098.4765625,10977.7998046875,29303.021484375,148.35597229003906,284.078857421875,252.10992431640625,0.23500637992664344
