Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Escape Speed z=0,Escape Speed Max Mass,AM Stellar Mass
2935.0,543047.0,0.50305,9.359634735367514,11.623396114869552,98.0,0.62143,106.18725883888227,112.40744798813368,19906.251953125,5139.29443359375,26781.724609375,-71.92874145507812,280.39395141601557,-33.46890640258789,140.42479798147323,144.17931168447546,0.053292924788793515
3161.0,551221.0,0.50305,19.830091433091603,22.493959827856585,102.0,0.52457,136.3832436726403,141.80833903443926,3602.682861328125,58338.20703125,33140.6171875,7.243904113769531,-86.33029174804688,299.3814697265625,120.59492524609915,123.64540471063515,0.2194453519588923
3326.0,556630.0,0.50305,8.794823153452441,23.362612182443794,102.0,0.52457,104.00681888774531,143.61074388596703,45726.63671875,72812.9921875,5926.54833984375,6.971240043640138,112.29058837890624,-20.731395721435547,139.3182521435863,143.0842459487515,0.2364966642153311
3460.0,560891.0,0.50305,12.87034424868497,15.120567245916885,100.0,0.57598,118.08176358285485,123.38598993074787,70779.5078125,6934.71240234375,45308.70703125,-43.812591552734375,-160.60430908203125,-264.03689575195307,135.1637603584762,138.6745601386621,0.09421077929819803
3477.0,561412.0,0.50305,16.881186853755604,24.04549988833341,93.0,0.75744,129.25690976341136,141.21480340347097,52963.27734375,11828.490234375,40333.796875,222.9427795410156,-207.32470703125,-170.39878845214844,147.66491493685055,151.93396443661698,0.2040770800735896
3529.0,563027.0,0.50305,9.506290609186346,11.793365532701664,100.0,0.57598,106.73900217910156,113.57665528561137,21814.1484375,62861.53125,5432.40283203125,-398.0920715332031,283.010498046875,-255.23678588867188,165.31518846785752,170.20148768693514,0.05685780217973899
3567.0,564163.0,0.50305,9.838709777051752,19.0953097560189,92.0,0.7910699999999999,107.96893719421026,130.37612552279936,54237.5703125,42477.44921875,23874.134765625,2.4612631797790527,183.9745330810547,335.65863037109375,181.4954080199266,188.18242857288973,0.12738567109109805
3576.0,564412.0,0.50305,9.93196801705794,11.520360003818164,94.0,0.73264,108.30900027454916,110.7580400915234,10524.4599609375,32947.6640625,56486.16015625,20.587495803833008,351.7984619140625,200.981201171875,116.04103458651102,122.8257050914263,0.04859866297827318
3596.0,564984.0,0.50305,12.774830514734445,19.700734452767808,93.0,0.75744,117.78893417958368,132.13861832900722,65395.30078125,62596.53125,35507.97265625,36.32061767578125,144.52696228027344,358.66009521484375,118.64318995264468,134.87806001034625,0.13849235560087889
3598.0,565063.0,0.50305,19.875969399105426,20.805539055304095,99.0,0.59854,136.4883392835593,136.8544586357447,15048.35546875,58868.76953125,70260.5546875,-66.00167083740234,-99.75189208984376,237.4938201904297,128.2422692136208,131.51117357047113,0.1749344510403728
