Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass,Escape Speed z=0,Escape Speed Max Mass
2935.0,543047.0,0.50305,9.359634735367514,11.623396114869552,98.0,0.62143,106.18725883888227,112.40744798813368,19906.251953125,5139.29443359375,26781.724609375,-71.92874145507812,280.39395141601557,-33.46890640258789,0.05329292478879352,140.42479798147323,144.17931168447546
3529.0,563027.0,0.50305,9.506290609186346,11.793365532701664,100.0,0.57598,106.73900217910156,113.57665528561137,21814.1484375,62861.53125,5432.40283203125,-398.0920715332031,283.010498046875,-255.23678588867188,0.05685780217973899,165.31518846785752,170.2014876869351
3707.0,568287.0,0.50305,10.811901227994401,12.637199325995011,101.0,0.5463899999999999,111.41751456268496,116.6682392338038,24884.283203125,3724.8935546875,57344.7734375,92.0637435913086,30.8717098236084,5.050193786621094,0.06713398649197137,159.2086543987638,163.83407662393273
3792.0,570728.0,0.50305,7.818623022599652,13.478776270692999,95.0,0.70011,100.006800775201,117.08602513960571,14764.5283203125,20848.671875,74379.65625,-186.90362548828125,-0.7690389156341553,149.0644073486328,0.06793479872464472,187.8435068127278,194.21071634843966
3885.0,573452.0,0.50305,10.987136174332012,11.342869563536212,102.0,0.52457,112.01622830253382,112.87231813349712,25314.83203125,10443.255859375,30152.296875,-287.28326416015625,-141.18133544921875,214.96414184570312,0.05483466420232085,158.91839640260253,163.31800166488952
3918.0,574443.0,0.50305,8.733904497189956,11.630915782668376,92.0,0.7910699999999999,103.76612270111113,110.51650404101645,44183.3359375,25305.767578125,5238.26904296875,29.406848907470703,40.46708297729492,-150.8178253173828,0.04790084472129957,180.38613794437828,186.08633516022732
3991.0,576419.0,0.50305,10.848753154277803,11.128527196970854,100.0,0.57598,111.54395836975829,111.40099050419997,15003.458984375,67365.890625,74955.375,323.6763610839844,-364.585693359375,288.0392761230469,0.050504100248254746,136.32975585661399,139.79493992398537
4144.0,580413.0,0.50305,8.515800942074168,9.505538777871566,101.0,0.5463899999999999,102.89508022696043,106.10306859280304,19764.494140625,21807.36328125,12149.4111328125,-277.5645751953125,-73.53559875488281,64.88233947753906,0.037416296234663256,172.97515024722298,178.02960280637458
4264.0,583582.0,0.50305,6.027168848297813,7.551634853536433,96.0,0.67611,91.69744377379207,96.76544569451788,24972.166015625,25832.73828125,56475.76953125,-316.4902648925781,-324.1569519042969,-124.78489685058594,0.021431553910270847,154.32306668074327,159.0911711397109
4352.0,585727.0,0.50305,10.596054521473972,12.419848279519515,97.0,0.64464,110.67108587503641,114.613841610483,50003.2109375,54938.8515625,39859.8359375,-30.07935905456543,244.1138458251953,-23.367778778076172,0.05991617758235,161.65288378721482,166.52176574011278
