Group Number,Subhalo ID,Redshift,Mass at z=0,Max Mass,Max Mass Snap,Redshift at Max Mass,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass
2703.0,436182.0,1.0355,28.296256607229058,28.296256607229058,84.0,1.0355,146.05932667836177,146.05932667836177,40186.984375,21750.818359375,15153.3466796875,-124.74666595458984,-23.46760368347168,-125.60408782958984,0.2348372643838113
2915.0,445466.0,1.0355,16.654811122200705,16.654811122200705,84.0,1.0355,122.4051065959455,122.4051065959455,474.6265869140625,8948.607421875,32566.701171875,27.777328491210927,128.15835571289062,-6.720658779144287,0.08578777278663767
2955.0,446951.0,1.0355,21.29740064794367,22.239756855097685,82.0,1.1142,132.86028084700962,134.21501057994962,35126.203125,20557.484375,38637.8125,-191.6812744140625,22.36739921569824,154.10726928710938,0.14384360849694164
3004.0,448743.0,1.0355,31.83779933235862,31.83779933235862,84.0,1.0355,151.91499588540302,151.91499588540302,27549.23046875,19854.552734375,24900.384765625,-283.5182800292969,-63.07956314086914,244.87278747558602,0.2925349611308105
3012.0,449073.0,1.0355,18.07774603366852,18.07774603366852,84.0,1.0355,125.7962590331864,125.7962590331864,64266.92578125,38473.86328125,1039.737548828125,117.15996551513672,-288.1064758300781,71.60802459716797,0.10040109445701333
3039.0,450094.0,1.0355,30.47428076917475,30.47428076917475,84.0,1.0355,149.71458839908325,149.71458839908325,54087.3125,3098.05322265625,30747.787109375,96.7310791015625,45.57390975952149,367.52923583984375,0.26969397983184984
3101.0,452425.0,1.0355,27.068861506202,27.068861506202,84.0,1.0355,143.9161820799508,143.9161820799508,61152.3046875,10161.8369140625,44786.53515625,-172.10508728027344,-197.3772430419922,-275.3572998046875,0.2161039272361959
3123.0,453182.0,1.0355,31.23463283885609,31.23463283885609,84.0,1.0355,150.94953084476847,150.94953084476847,60343.55859375,9909.1650390625,41818.16015625,24.182830810546875,-268.77267456054693,-151.90919494628906,0.2823360448139307
3235.0,457351.0,1.0355,19.50594511899081,19.50594511899081,84.0,1.0355,129.02542506111988,129.02542506111988,56281.82421875,8635.853515625,81.57064056396484,11.209548950195312,38.127742767333984,82.1981201171875,0.11612416822027642
3297.0,459590.0,1.0355,28.5579806024378,28.5579806024378,84.0,1.0355,146.50826677490284,146.50826677490284,31866.21484375,28117.791015625,24393.017578125,-177.1835479736328,-95.00379943847656,126.6439971923828,0.2389177133138995
3305.0,459891.0,1.0355,25.632389567115087,25.632389567115087,84.0,1.0355,141.3240248546439,141.3240248546439,35063.78515625,59992.10546875,41681.2734375,131.29904174804688,87.38611602783203,-19.45445251464844,0.1950374965695451
3359.0,461755.0,1.0355,22.602258758111443,23.990598591891203,83.0,1.0745,135.5200583610785,137.9370361743498,25031.56640625,41633.6484375,47922.50390625,-438.0711669921875,159.8175811767578,0.9202320575714112,0.16894654938814055
3515.0,466934.0,1.0355,25.33456412228671,25.33456412228671,84.0,1.0355,140.77453821674612,140.77453821674612,4002.11083984375,5334.77734375,38785.2109375,64.51157379150389,191.20599365234366,-0.4449629783630371,0.19078764529589773
3576.0,469051.0,1.0355,27.365933765064586,27.63818610798229,78.0,1.3024,144.44074606844083,143.10435805419232,66367.1328125,42299.2890625,33747.06640625,127.37257385253906,71.92250061035156,-73.80670166015625,0.20014915155084528
3736.0,474171.0,1.0355,26.69733491810885,26.69733491810885,84.0,1.0355,143.2547185490063,143.2547185490063,59730.171875,26175.578125,4016.262451171875,75.86163330078125,7.780970096588135,20.81895446777344,0.2105657743911569
3776.0,475429.0,1.0355,27.075629342686053,27.075629342686053,84.0,1.0355,143.92817519640258,143.92817519640258,36561.16015625,31406.9296875,4139.30712890625,-91.8457489013672,166.39105224609375,-94.08645629882812,0.21620538643403625
3785.0,475746.0,1.0355,10.93524220314893,10.93524220314893,84.0,1.0355,106.38876513714008,106.38876513714008,13106.6875,15530.736328125,61738.73828125,19.89042854309082,275.37759399414057,-150.3789825439453,0.0380710405096317
3838.0,477388.0,1.0355,29.9718894741752,36.27055883407593,75.0,1.472,148.8873065234236,155.78861921524015,6485.1884765625,62815.94140625,67236.2109375,37.29626846313477,-182.69862365722656,1.4161376953125,0.3092842435622861
3889.0,478922.0,1.0355,30.71870587088845,30.905972827564586,81.0,1.1546,150.11379498345374,149.47581066207061,36100.9453125,3435.06201171875,35395.63671875,106.19802856445312,-292.194580078125,278.19021606445307,0.2613155480329263
3934.0,480383.0,1.0355,30.527678402987394,30.527678402987394,84.0,1.0355,149.80198165648397,149.80198165648397,574.1749877929688,24776.470703125,21248.095703125,216.6625823974609,261.73770141601557,-287.3287353515625,0.27057391526678404
3956.0,481076.0,1.0355,28.24962680990046,28.24962680990046,84.0,1.0355,145.9790514970554,145.9790514970554,51359.8359375,45817.23828125,52609.04296875,-104.50717163085938,124.2024917602539,82.26799774169922,0.23411341898716045
3986.0,482000.0,1.0355,31.23162280429493,31.23162280429493,84.0,1.0355,150.94468176262518,150.94468176262518,50925.41015625,12624.2490234375,2194.971435546875,-173.66525268554688,57.06081771850586,174.15159606933594,0.28228552421771025
4022.0,483112.0,1.0355,20.815316926349293,20.815316926349293,84.0,1.0355,131.85015410245336,131.85015410245336,27504.408203125,61939.37109375,27843.3046875,84.22441101074219,-16.259361267089847,310.1725158691406,0.13144950861946847
4042.0,483674.0,1.0355,24.764489043842662,24.764489043842662,84.0,1.0355,139.7106210107243,139.7106210107243,15521.6376953125,11053.140625,58603.3984375,37.73039627075195,223.9264373779297,191.63873291015625,0.18276734422970708
4057.0,484082.0,1.0355,22.06452190876007,22.31797305020419,83.0,1.0745,134.43668855179106,134.6538509771519,9720.150390625,56362.2734375,74871.8515625,346.8941345214844,-57.08419799804688,-233.28390502929688,0.1473762539838732
4081.0,484829.0,1.0355,22.51652154055509,22.51652154055509,84.0,1.0355,135.34848501677618,135.34848501677618,51059.45703125,62860.16796875,26264.19921875,-8.410797119140625,220.33279418945312,144.62103271484375,0.15263265229814427
4099.0,485349.0,1.0355,24.788555773821745,24.788555773821745,84.0,1.0355,139.75586441226636,139.75586441226636,40769.1875,37036.40234375,71356.40625,253.40013122558602,240.63873291015625,-272.92092895507807,0.18310288106000125
4107.0,485565.0,1.0355,24.91791410879655,24.91791410879655,84.0,1.0355,139.99854668634478,139.99854668634478,74352.5703125,54475.5078125,850.2465209960938,222.12322998046875,-5.659327030181885,-225.69178771972656,0.18491101102741367
4123.0,486052.0,1.0355,23.980820720846005,23.980820720846005,84.0,1.0355,138.22108994092278,138.22108994092278,9890.560546875,57234.01953125,74367.9375,312.7328796386719,-175.43099975585938,-178.9068145751953,0.17198976652867304
4127.0,486170.0,1.0355,27.120755477385092,27.120755477385092,84.0,1.0355,144.0080910643968,144.0080910643968,51321.00390625,9023.9140625,13685.2939453125,141.38803100585938,149.3612060546875,2.0729894638061523,0.21688241361864605
4135.0,486403.0,1.0355,24.20268546451221,24.20268546451221,84.0,1.0355,138.6460447759774,138.6460447759774,30725.990234375,68779.1328125,68829.9765625,-46.853233337402344,134.19866943359378,166.53884887695312,0.17501171746060284
4144.0,486703.0,1.0355,16.002756628123198,16.010277650573038,83.0,1.0745,120.7863615829892,120.54063729861849,12368.091796875,10082.283203125,43029.40625,-11.57874870300293,155.2935028076172,-254.53826904296875,0.07824158111902381
4153.0,486983.0,1.0355,30.864609913392506,30.864609913392506,84.0,1.0355,150.35108389204754,150.35108389204754,29627.330078125,37320.55859375,11069.2412109375,-5.3558220863342285,-91.4747314453125,5.0271077156066895,0.2761537214222218
4159.0,487141.0,1.0355,24.450117891485053,24.450117891485053,84.0,1.0355,139.11691925987742,139.11691925987742,57972.765625,68875.1015625,18116.904296875,-193.26535034179688,90.02203369140625,222.14036560058602,0.17840925751934944
4165.0,487321.0,1.0355,24.48621934110468,24.48621934110468,84.0,1.0355,139.18535591148404,139.18535591148404,25894.3046875,23377.533203125,54238.23046875,-105.46089935302734,39.09571838378906,107.43017578125,0.17890737627032996
4169.0,487454.0,1.0355,25.091642683202572,25.091642683202572,84.0,1.0355,140.3231517305474,140.3231517305474,65335.03125,62500.23046875,14754.2255859375,20.086395263671875,-5.679304599761963,200.92169189453125,0.18735157954515988
4203.0,488443.0,1.0355,29.039309783415362,29.039309783415362,84.0,1.0355,147.32679089494516,147.32679089494516,22509.990234375,17321.44921875,25446.765625,-244.4017639160156,26.60758209228516,146.2924041748047,0.2464997648425981
4238.0,489447.0,1.0355,31.504628333178434,31.504628333178434,84.0,1.0355,151.38322487852457,151.38322487852457,9921.6796875,29555.98828125,61496.80078125,-9.281851768493652,181.8541259765625,-61.69041442871094,0.2868828862638888
4288.0,490763.0,1.0355,31.603902578353885,32.56882320750844,82.0,1.1142,151.54206606432462,152.41408408346118,72324.8515625,36095.6484375,1684.4561767578125,254.3856964111328,-31.79433441162109,51.19018936157226,0.2932851026505949
4289.0,490796.0,1.0355,12.660514224659314,12.660514224659314,84.0,1.0355,111.71292272627626,111.71292272627626,7230.513671875,69065.8515625,23718.966796875,11.92255973815918,207.0224456787109,178.9125213623047,0.05056002068530331
