Group Number,Subhalo ID,Mass at z=0,Max Mass,Max Mass Snap,Redshift,Rvir at z=0,Rvir at Max Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,AM Stellar Mass,Escape Speed z=0,Escape Speed Max Mass
2430.0,624506.0,13.942057436162775,15.423655509948732,131.0,0.048524,134.89845399363224,137.65669800704276,64913.73046875,72897.6171875,46550.13671875,70.24019622802734,-1.17655348777771,-212.7143096923828,0.2273672818522764,163.51529204299604,163.51529204299604
2440.0,624891.0,21.03868397799405,21.03868397799405,135.0,0.0,154.72869879877692,154.72869879877692,64414.04296875,66188.3515625,37334.44140625,79.47193145751953,-68.30157470703125,188.07606506347656,0.4893375232442382,202.9992479821681,209.67671993781545
2558.0,629560.0,24.28842132741755,24.7156023979187,134.0,0.0095218,162.31716392791492,162.82634703263588,10421.96484375,71323.4921875,7523.08154296875,177.162109375,151.6768035888672,-5.727583408355713,0.6446769944847325,166.04378989395346,166.04378989395346
2696.0,634749.0,12.284473939375445,21.573413502086293,132.0,0.033724000000000004,129.3253128627077,154.57009464650397,38066.51953125,33855.48046875,1952.8936767578125,-59.21081924438477,-52.81622314453125,-231.1864318847656,0.4686268733440427,179.87773532769847,179.87773532769847
2724.0,635740.0,28.67680788040161,28.67680788040161,135.0,0.0,171.5569377341331,171.5569377341331,33988.38671875,59353.90234375,44731.0078125,-98.83702087402344,236.05487060546875,32.97499847412109,0.8558248421859991,217.49101005315742,219.0575615137425
2803.0,638448.0,16.229885545643896,24.687775156714697,112.0,0.32883,141.90678764388545,150.98191401329314,8595.2021484375,894.00146484375,39024.32421875,-89.30156707763672,187.0510406494141,-83.2220458984375,0.33754164009032056,148.01683388756743,149.26245855096616
2853.0,640217.0,9.095654568888925,10.080127553506331,133.0,0.023974,116.9973440034717,120.26557126460074,19210.091796875,21410.6171875,46904.95703125,-63.80928421020508,151.03892517089844,6.6494245529174805,0.09616933141568536,267.0657107330512,267.0657107330512
2881.0,641151.0,18.353758887811143,29.98392419381576,100.0,0.57598,147.84490321653254,155.01461483709784,10559.490234375,31355.458984375,70541.8671875,17.066425323486328,228.76763916015625,111.53113555908205,0.36415225420045855,244.13372095568977,252.61243450198225
2938.0,643040.0,9.839462285692044,12.896666472608393,134.0,0.0095218,120.103354765078,131.08714427830142,57838.1015625,62079.1484375,50381.53125,263.70376586914057,-30.609827041625977,-110.04132843017578,0.1731192093620916,184.45825977529952,191.37632375569626
3004.0,645221.0,7.784779776226393,23.89734170653604,117.0,0.24354,111.08279373142288,151.93104112656818,8055.9736328125,18282.712890625,63698.984375,442.5928649902344,156.5078887939453,103.13699340820312,0.3635782626325663,211.36326357275652,215.8344733295668
