First Subhalo ID,Group Mass,First Subhalo Mass,Second Subhalo Mass,First Subhalo x,First Subhalo y,First Subhalo z,Second Subhalo x,Second Subhalo y,Second Subhalo z,First Subhalo Vel v_x,First Subhalo v_y,First Subhalo v_z,Second Subhalo v_x,Second Subhalo v_y,Second Subhalo v_z
597529,113.4617870504206,106.93598877299917,0.34219638275151903,60137.2578125,16120.3525390625,31382.154296875,60135.296875,15992.04296875,31225.396484375,290.2863464355469,-272.9875793457031,-46.2628173828125,206.82553100585938,-308.180908203125,-40.850040435791016
597566,108.74925960193981,101.55260562896729,6.579947742548856,21979.568359375,12045.419921875,29335.609375,22128.609375,12156.4833984375,29205.162109375,-235.2112274169922,-42.911006927490234,-53.507694244384766,-277.6589660644531,2.849719285964966,72.44546508789062
597591,113.9220649545843,88.92292326146907,10.94953173940832,19676.23046875,46242.14453125,50740.06640625,19776.576171875,46226.6875,50686.55859375,-19.800512313842773,612.5513916015625,-551.814453125,-157.0717010498047,655.1578369140625,-651.759521484375
597633,111.91927302967419,104.00663722645153,0.600911888547919,17179.40625,9959.25390625,20051.966796875,17224.134765625,9826.6337890625,19917.619140625,94.03670501708984,152.01068115234375,108.69171142578125,-2.588963747024536,143.67898559570312,133.34304809570312
597759,94.45748545906761,91.69509194113992,14.759569005532699,69606.546875,56207.99609375,43642.78125,69827.8671875,56195.84375,43776.47265625,334.49761962890625,233.75718688964844,81.20106506347656,227.47828674316406,306.236572265625,74.65223693847656
597796,108.35817727175626,60.62666936354204,5.633831024169922,50052.02734375,62113.62109375,31896.978515625,50027.34375,62075.91796875,31975.619140625,-4.769860744476318,212.94039916992188,195.4130859375,156.3856964111328,322.2488708496094,54.75886154174805
597865,113.09552192687988,102.22796960310504,1.625244759700515,12323.087890625,50466.64453125,70620.1875,12240.8623046875,50487.89453125,70516.203125,81.7013931274414,86.0411605834961,-527.4915161132812,243.2281036376953,138.73023986816406,-510.0943298339844
597916,115.14870686964557,102.77924754402855,1.5680866146629509,28246.947265625,39017.6484375,43072.421875,28234.8046875,38987.6015625,43040.90234375,-643.517822265625,-60.105255126953125,83.76879119873047,-854.0401611328125,-18.682165145874023,214.94778442382812
597968,114.9764819578691,106.43359747799961,0.4723061892119321,19163.91796875,52347.609375,54923.94140625,19225.431640625,52442.2265625,54892.48828125,41.529605865478516,-49.600223541259766,-323.4079284667969,113.99674224853516,-37.629302978515625,-487.08258056640625
598087,113.51894248615612,106.35538534684615,0.73102167384191,2394.333740234375,2203.6083984375,26731.34375,2450.22900390625,2232.24365234375,26777.029296875,18.766843795776367,248.44810485839844,81.37691497802734,-180.33885192871094,361.61334228515625,91.69483184814453
598193,87.60227398438887,77.63721184297042,11.293984272263268,51084.62109375,16922.8515625,4887.7021484375,51167.84765625,17018.05859375,4762.54541015625,155.809326171875,131.87705993652344,-217.1678466796875,280.4329833984375,-5.294134616851807,-132.5824432373047
598292,96.49561751972546,94.97114745053379,10.896134105595676,48079.74609375,21859.755859375,11019.6025390625,47862.5703125,22034.09765625,10909.58984375,116.9771728515625,-19.196523666381836,-20.061779022216797,172.71380615234375,-133.5902099609375,-22.831335067749023
598324,114.5319938659668,73.1518106027083,12.579289349642668,59056.453125,51817.828125,53173.3515625,59150.3828125,51788.390625,53139.55078125,198.29428100585938,173.11053466796875,140.6090545654297,278.07196044921875,62.51649475097656,172.6065216064453
598369,108.43638940290973,103.70204665444115,2.3261833597313277,46128.80859375,1214.6458740234375,62045.41796875,46284.24609375,1092.826904296875,62048.625,-207.90380859375,-32.251888275146484,-80.68299865722656,-335.2746887207031,23.095184326171875,-65.30946350097656
598424,107.15333981947467,97.55680777809837,2.2539836777882143,2624.657958984375,24349.078125,25191.0,2613.983154296875,24386.61328125,25208.79296875,-56.46300506591797,-283.0780944824219,-443.5143737792969,-172.0813446044922,-161.81932067871094,-416.76776123046875
598481,111.50938814336604,104.42931001836604,1.3304294340989806,69387.25,47891.59375,37893.2265625,69283.6640625,47869.84765625,37864.37109375,200.5711669921875,187.87115478515625,-1.8438414335250854,369.2915344238281,234.64767456054688,117.54456329345703
598516,105.39498112418435,101.89930959181353,1.0920200835574758,39163.91796875,68314.609375,33206.984375,39132.75,68163.4765625,33116.6640625,6.547309398651123,91.82604217529297,392.3728332519531,-5.878780841827393,110.7542724609375,382.38092041015625
598582,108.04154656150125,97.82379323785956,2.692446281964129,57998.515625,3040.86328125,56855.015625,57977.9140625,3052.164794921875,56728.90625,13.038240432739258,-39.04046630859375,-194.74456787109375,61.70831298828125,24.134328842163086,-270.97918701171875
598647,108.32357406616211,77.52740925008601,11.824201453815808,59854.359375,44916.9921875,61912.5546875,59895.234375,45023.26171875,61969.6015625,26.3726806640625,-156.4403533935547,-233.5139617919922,-12.477835655212402,-204.92771911621094,-374.8400573730469
598708,78.31558856097135,74.21750372106379,12.074643915349787,73997.0234375,23352.390625,15857.9736328125,74218.4296875,23588.705078125,16036.8046875,310.57476806640625,711.4486694335938,637.4193115234375,428.3655090332031,727.7385864257812,611.8140258789062
598751,113.648306239735,104.05928438360041,0.5174310115928,66204.8125,29141.326171875,73127.4375,66058.0390625,29093.24609375,73070.390625,269.22491455078125,96.9336929321289,83.8199691772461,413.0747985839844,27.89409065246582,45.742401123046875
598793,106.10945658250289,38.75768726522273,20.039169625802476,73067.7578125,68873.609375,36086.94921875,73015.9140625,68854.890625,36180.15234375,-256.1888427734375,-31.854999542236328,61.96638488769531,-55.492393493652344,34.006168365478516,101.5810546875
598849,88.4912284937772,93.69186921553178,8.815881203521382,15640.859375,46839.5703125,60639.5703125,15837.1826171875,46746.7421875,60280.5859375,116.1659927368164,111.55902099609375,-187.5910186767578,84.36746215820312,54.653594970703125,-112.36537170410156
598890,112.77439377524637,101.75115411931819,2.0065493881702423,45281.7109375,24196.375,70626.09375,45203.98046875,24197.919921875,70592.796875,-151.99087524414062,69.77823638916016,-5.398743629455566,-144.2698211669922,174.4129638671875,-127.1358413696289
598928,96.6159538789229,78.36221564899792,12.59207454594699,21647.998046875,21026.345703125,26807.310546875,21659.23046875,21108.423828125,26839.21484375,-255.97073364257812,-187.10585021972656,171.8688201904297,-206.0116729736328,-251.6655731201172,164.64898681640625
